,product_id,product_category,care_label,product_main_category,product_sub_category,updated_care_label,color,component,weight
910,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,100% polyester,,main,150.0
911,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,"90% polyester, 10% elastane",,contrast,253.0
912,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,"88% cordura polyamide 12%, elastane",,reinforcement,275.0
913,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,100% solution dyed polyamide,,lining,65.0
914,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,"90% repreve recycled polyester, 10% polyester",,insulation,180.0
915,#8134,jacket,"main: 100% polyester 150 g/m². contrast: 90% polyester, 10% elastane, 253 g/m².  reinforcement: 88% cordura® polyamide 12%, elastane 275 g/m². lining: 100% solution dyed polyamide 65 g/m². insulation: 90% repreve® recycled polyester, 10% polyester, 180 g/m². pocket lining: 100% polyester, 215 g/m².",jacket,,100% polyester,,pocket lining,215.0
916,#8200,jacket,"100% polyester, 190 g/m².",jacket,,100% polyester,,main,190.0
917,#8201,pants,"100% polyester, 190 g/m².",pants,,100% polyester,,main,190.0
918,#8233,jacket,"100% polyester tricot, 220 g/m².",jacket,,100% polyester tricot,,main,220.0
919,#8243,pants,"100% polyester, 220 g/m².",pants,,100% polyester,,main,220.0
920,#8261,jacket,"main: 100% polyester, 256 g/m². coating: 100% polyurethane.",jacket,,100% polyester,,main,256.0
921,#8261,jacket,"main: 100% polyester, 256 g/m². coating: 100% polyurethane.",jacket,,100% polyurethane,,coating,
922,#8267,pants,main: 100% pu laminated polyester.,pants,,100% pu laminated polyester,,main,
923,#8269,pants,100% pu laminated polyester.,pants,,100% pu laminated polyester,,main,
924,#8378,workwear/coverall,100% polyamide 130 g/m².,workwear,coverall,100% polyamide,,main,130.0
925,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,c0 finish,,main,
926,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,"49% recycled polyester, 31% polyester, 20% polyamide, 290g",,main,
927,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,,,main,5000.0
928,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,breathability,,main,
929,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,stretchy interlock fabric,,main,
930,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,"98% recycled polyester, 2%",,rib,
931,#8400,sweater/hoodie,"c0 finish. 49% recycled polyester, 31% polyester, 20% polyamide, 290g . 5000 g/m2 breathability. stretchy interlock fabric. rib: 98% recycled polyester, 2% elastane mesh: 100% polyester",sweater,hoodie,100% polyester,,elastane mesh,
932,#8404,jacket,"main material: 97% recycled polyester 3% elastane, 295 g contrast;",jacket,,97% recycled polyester 3% elastane,,main material,295.0
933,#8404,jacket,"main material: 97% recycled polyester 3% elastane, 295 g contrast;",jacket,,contrast,,main,
934,#8405,sweater/hoodie,"main material: 97% recycled polyester 3% elastane, 295 g contrast;",sweater,hoodie,97% recycled polyester 3% elastane,,main material,295.0
935,#8405,sweater/hoodie,"main material: 97% recycled polyester 3% elastane, 295 g contrast;",sweater,hoodie,contrast,,main,
936,#8510,shirt,"65 % polyester, 35 % cotton, 155 g/m².",shirt,,"65 % polyester, 35 % cotton",,main,155.0
937,#8516,shirt,"main: 100% cotton, 165 g/m².",shirt,,100% cotton,,main,165.0
938,#8520,shirt,"main: 74% polyamide, 22% repreve® recycled polyamide 4% elastane 149 g/m². mesh: 90% polyester, 10% elastane, 98 g/m²",shirt,,"74% polyamide, 22% repreve recycled polyamide 4% elastane",,main,149.0
939,#8520,shirt,"main: 74% polyamide, 22% repreve® recycled polyamide 4% elastane 149 g/m². mesh: 90% polyester, 10% elastane, 98 g/m²",shirt,,"90% polyester, 10% elastane",,mesh,98.0
940,#8521,shirt,"main: 74% polyamide, 22% repreve® recycled polyamide 4% elastane 149 g/m². mesh: 90% polyester, 10% elastane, 98 g/m²",shirt,,"74% polyamide, 22% repreve recycled polyamide 4% elastane",,main,149.0
941,#8521,shirt,"main: 74% polyamide, 22% repreve® recycled polyamide 4% elastane 149 g/m². mesh: 90% polyester, 10% elastane, 98 g/m²",shirt,,"90% polyester, 10% elastane",,mesh,98.0
942,#8522,shirt,"main fabric: 75% cotton, 25% nylon, 280 g/m2. pile: 100% polyester, 190 g/m2.
padding: 100% polyester, 60 g/m2.
",shirt,,"75% cotton, 25% nylon",,main fabric,280.0
943,#8522,shirt,"main fabric: 75% cotton, 25% nylon, 280 g/m2. pile: 100% polyester, 190 g/m2.
padding: 100% polyester, 60 g/m2.
",shirt,,100% polyester,,pile,190.0
944,#8522,shirt,"main fabric: 75% cotton, 25% nylon, 280 g/m2. pile: 100% polyester, 190 g/m2.
padding: 100% polyester, 60 g/m2.
",shirt,,100% polyester,,padding,60.0
945,#8555,shirt,"color: 6500/ main: 99% cotton, 1% elastane, 255 g/m².",shirt,,"99% cotton, 1% elastane",6500,main,255.0
946,#8560,shirt,"55% protal, 44% cotton, 1% antistatic, 200 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,200.0
947,#8561,shirt,"55% protal, 44% cotton, 1% antistatic, 200 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,200.0
948,#8562,shirt,"55% protal, 44% cotton, 1% antistatic, 200 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,200.0
949,#8563,shirt,"55% protal®, 44% cotton, 1% antistatic, 275 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,275.0
950,#8564,shirt,"55% protal®, 44% cotton, 1% antistatic, 275 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,275.0
951,#8565,shirt,"55% protal®, 44% cotton, 1% antistatic, 275 g/m².",shirt,,"55% protal, 44% cotton, 1% antistatic",,main,275.0
952,#9004,accessory/belt,100% polyester.,accessory,belt,100% polyester,,main,
